"price","lotsize","bedrooms","bathrms","driveway","fullbase","airco"
52500,5640,2,1,0,0,0
51000,4500,2,1,0,0,0
60000,2747,4,2,0,0,0
42000,3480,3,1,0,0,0
34400,3635,2,1,0,0,0
46000,4320,3,1,0,0,0
60000,2325,3,1,0,0,0
40500,4350,3,1,0,0,0
44500,3000,3,1,0,0,1
45000,3500,2,1,0,1,0
45000,3986,2,2,0,1,0
62000,1905,5,1,0,1,0
53900,2520,5,2,0,1,1
51500,4500,2,1,1,0,0
93000,3760,3,1,1,0,0
60000,3520,3,1,1,0,0
45000,6750,2,1,1,0,0
45000,9000,3,1,1,0,0
44000,4500,2,1,1,0,0
70000,6720,3,1,1,0,0
43000,2835,2,1,1,0,0
49000,3850,3,1,1,0,0
25000,3620,2,1,1,0,0
35000,7700,2,1,1,0,0
63900,3510,3,1,1,0,0
70000,2970,3,1,1,0,0
64000,4000,3,1,1,0,0
48000,3750,3,1,1,0,0
50000,5880,2,1,1,0,0
30000,3360,2,1,1,0,0
34000,3264,2,1,1,0,0
65500,3840,3,1,1,0,0
87250,3240,4,1,1,0,0
38000,3934,2,1,1,0,0
55000,3850,2,1,1,0,0
55500,3180,4,2,1,0,0
70000,5400,4,1,1,0,0
70000,12900,3,1,1,0,0
50000,7350,2,1,1,0,0
43500,3800,2,1,1,0,0
50000,3600,6,1,1,0,0
83000,5828,4,1,1,0,0
86900,4300,6,2,1,0,0
73500,7980,3,1,1,0,0
64500,3520,2,1,1,0,0
48000,4120,2,1,1,0,0
62900,4880,3,1,1,0,0
80000,5500,3,2,1,0,0
52000,3000,2,1,1,0,1
118500,4880,4,2,1,0,1
59000,4632,4,1,1,0,1
140000,5750,3,2,1,0,1
82000,5000,3,1,1,0,1
78000,6210,4,1,1,0,1
105000,6000,3,2,1,0,1
68000,10240,2,1,1,0,1
103500,9000,4,2,1,0,1
89900,6600,3,2,1,0,1
55000,7152,3,1,1,0,1
58500,5600,2,1,1,0,1
88500,5500,3,2,1,0,1
50000,4240,3,1,1,0,1
61000,4500,2,1,1,0,1
145000,8580,4,3,1,0,1
82000,5400,4,2,1,0,1
80000,6600,4,2,1,1,0
71900,4800,2,1,1,1,0
70000,4120,2,1,1,1,0
66000,3880,3,2,1,1,0
52000,5960,3,1,1,1,0
68500,7000,3,1,1,1,0
59900,8250,3,1,1,1,0
26000,3000,2,1,1,1,0
117000,5960,3,3,1,1,0
44000,3090,2,1,1,1,0
99000,13200,2,1,1,1,0
95500,6600,2,2,1,1,0
67000,9667,4,2,1,1,0
56000,2145,4,2,1,1,0
74900,6050,3,1,1,1,0
49000,1950,3,2,1,1,0
57000,4050,2,1,1,1,0
56000,5500,4,1,1,1,0
48000,3185,2,1,1,1,0
120000,5500,4,2,1,1,1
57500,3460,3,2,1,1,1
92500,7410,3,1,1,1,1
47000,3180,4,1,1,1,1
122000,6540,4,2,1,1,1
75000,8400,3,1,1,1,1
70000,4520,3,1,1,1,1
120900,6000,3,2,1,1,1
123500,4560,3,2,1,1,1
100000,11175,3,1,1,1,1
