"wage","educ","age","exper","female","nonwhite","married","urban","fulltime","union","northeast","midwest","south","west"
6.68,13,34,15,1,0,0,1,0,0,0,0,0,1
5.53,12,56,38,1,0,1,0,0,0,0,1,0,0
4.03,12,27,9,1,0,1,1,0,0,0,0,0,1
9.21,16,23,1,1,0,0,1,0,0,0,0,1,0
8.84,16,24,2,0,0,0,1,0,0,1,0,0,0
5.16,12,22,4,1,0,0,1,0,0,1,0,0,0
4.6,12,34,16,1,0,1,1,0,0,1,0,0,0
6.91,14,38,17,1,0,1,1,0,0,1,0,0,0
14.73,13,40,20,1,0,0,1,0,0,0,0,0,1
3.46,13,26,7,1,0,0,0,0,0,0,0,1,0
2.07,12,26,7,0,0,0,1,0,0,0,1,0,0
3.98,13,46,27,1,0,1,0,0,0,0,1,0,0
3.68,13,19,0,1,0,0,1,0,0,0,1,0,0
10.31,12,43,24,1,0,1,1,0,0,1,0,0,0
13.1,16,31,9,1,0,1,1,0,0,0,1,0,0
3.68,12,38,20,1,0,1,1,0,0,0,1,0,0
5.51,13,19,0,0,0,0,1,0,0,0,1,0,0
9.03,16,44,22,1,0,1,1,0,0,1,0,0,0
3.68,10,18,2,0,0,0,0,0,0,0,0,0,1
5.16,16,26,4,1,0,1,1,0,0,1,0,0,0
4.42,14,25,5,1,0,1,0,0,0,0,1,0,0
12.16,13,34,15,1,0,1,1,0,0,0,0,0,1
2.95,14,30,10,1,0,1,1,0,0,1,0,0,0
3.87,13,48,29,1,0,1,1,0,0,0,1,0,0
8.47,12,58,40,1,0,1,1,0,0,0,0,1,0
1.58,13,22,3,1,0,0,1,0,0,0,0,0,1
13.07,18,32,8,1,0,1,1,0,0,1,0,0,0
9.58,12,54,36,0,0,1,1,0,0,1,0,0,0
4.05,14,22,2,1,0,1,0,0,0,0,1,0,0
3.82,12,52,33,1,0,1,1,0,0,0,0,1,0
5.89,13,61,42,1,0,1,1,0,0,0,1,0,0
4.45,13,22,2,1,0,1,1,0,0,0,0,0,1
6.11,12,42,24,1,0,0,1,0,0,0,0,1,0
13.64,12,47,29,0,0,1,0,0,0,0,0,0,1
4.79,16,23,1,1,0,1,0,0,0,0,1,0,0
5.89,12,36,18,1,0,1,1,0,0,0,0,1,0
11.44,13,29,10,0,0,0,1,0,0,1,0,0,0
5.38,13,20,1,0,0,0,1,0,0,0,0,1,0
7,12,21,3,1,0,0,0,0,0,0,0,1,0
10.46,12,58,39,1,0,1,0,0,0,0,0,0,1
4.42,13,29,10,1,0,0,1,0,0,0,0,0,1
4.91,12,22,3,1,0,1,0,0,0,0,0,0,1
5.16,13,59,40,0,0,1,0,0,0,0,0,0,1
4.51,12,57,39,1,0,1,1,0,0,1,0,0,0
5.75,12,39,21,1,0,1,1,0,0,0,1,0,0
11.79,18,41,17,1,0,1,1,0,0,1,0,0,0
3.83,13,61,42,1,0,1,1,0,0,0,0,1,0
36.84,13,26,7,1,0,1,1,0,0,0,0,0,1
3.5,13,28,9,1,0,0,0,0,0,0,0,0,1
4.28,12,41,23,1,0,1,1,0,0,0,0,0,1
5.53,12,31,13,1,0,1,1,0,0,0,1,0,0
4.93,16,46,23,0,0,0,1,0,0,0,1,0,0
3.68,12,19,0,1,0,0,1,0,0,0,1,0,0
7.37,13,20,1,0,0,0,1,0,0,0,0,1,0
6.68,12,40,22,1,0,1,1,0,0,0,1,0,0
5.16,13,19,0,1,0,0,1,0,0,1,0,0,0
3.68,12,37,19,1,0,1,1,0,0,0,0,1,0
10.52,12,39,21,1,0,1,1,0,0,1,0,0,0
3.68,12,42,24,1,0,0,1,0,0,0,0,1,0
78.71,18,63,39,1,0,0,1,0,0,0,0,1,0
6.41,12,45,26,1,0,1,1,0,0,0,1,0,0
7.37,12,25,7,1,0,1,1,0,0,1,0,0,0
6.45,13,32,13,1,0,1,1,0,0,1,0,0,0
21.25,16,51,29,0,0,1,1,0,0,0,0,0,1
